budget,aggregation,anls,ci_lo,ci_hi,exact_pct,zero_pct,n,delta_vs_base,delta_lo,delta_hi,significant
2048,uncompressed,89.4523,,,83.06,8.04,5349,,,,
2048,mean,49.8625,48.6847,51.0979,36.94,44.06,5349,,,,0
2048,mean_std,50.6039,49.3094,51.8659,38.21,43.41,5349,0.7414,-0.0148,1.4624,0
2048,topk_mean,50.6892,49.4329,51.9107,38.42,43.28,5349,0.8267,-0.2018,1.7824,0
2048,quantile,51.3170,50.0935,52.5638,38.74,42.66,5349,1.4545,0.5054,2.3688,1
2048,max,52.7413,51.4770,54.0412,41.09,41.67,5349,2.8788,1.5648,4.1302,1
4096,uncompressed,89.4523,,,83.06,8.04,5349,,,,
4096,mean,71.3324,70.1732,72.4495,62.67,24.45,5349,,,,0
4096,mean_std,71.7434,70.5868,72.8924,63.25,24.12,5349,0.4110,-0.2096,1.0213,0
4096,topk_mean,71.7999,70.6352,72.9757,63.68,24.23,5349,0.4675,-0.3138,1.2346,0
4096,quantile,72.3620,71.1749,73.4772,64.16,23.56,5349,1.0296,0.3399,1.7647,1
4096,max,73.9409,72.8254,75.0591,65.64,22.04,5349,2.6085,1.6436,3.6007,1
5120,uncompressed,89.4523,,,83.06,8.04,5349,,,,
5120,mean,80.9837,79.9906,81.9182,73.83,15.83,5349,,,,0
5120,mean_std,81.2567,80.2554,82.2068,74.03,15.48,5349,0.2730,-0.1720,0.7325,0
5120,topk_mean,80.9737,79.9581,81.8927,73.75,15.91,5349,-0.0100,-0.6101,0.6112,0
5120,quantile,81.3885,80.4062,82.3982,74.03,15.37,5349,0.4047,-0.1701,0.9755,0
5120,max,81.2748,80.2956,82.2377,74.46,15.74,5349,0.2910,-0.5292,1.0798,0
