tag,group_size,category,all_correct,per_member,gold,sample_idx
<references / uncompressed>,4,single,1,1111,ABCD,"0,1,2,3"
<references / uncompressed>,4,single,1,1111,ABCD,"4,5,6,7"
<references / uncompressed>,4,cross,0,0000,ABCD,"8,9,10,11"
<references / uncompressed>,4,single,0,1001,ABCD,"12,13,14,15"
<references / uncompressed>,4,single,1,1111,ABCD,"16,17,18,19"
<references / uncompressed>,4,single,1,1111,ABCD,"20,21,22,23"
<references / uncompressed>,4,single,1,1111,ABCD,"24,25,26,27"
<references / uncompressed>,4,cross,0,1110,ABCD,"28,29,30,31"
<references / uncompressed>,4,cross,0,0000,ABCD,"32,33,34,35"
<references / uncompressed>,4,single,1,1111,ABCD,"36,37,38,39"
<references / uncompressed>,4,single,0,1100,ABCD,"40,41,42,43"
<references / uncompressed>,4,single,1,1111,ABCD,"44,45,46,47"
<references / uncompressed>,4,cross,0,0001,ABCD,"48,49,50,51"
<references / uncompressed>,4,single,1,1111,ABCD,"52,53,54,55"
<references / uncompressed>,4,single,1,1111,ABCD,"56,57,58,59"
<references / uncompressed>,4,single,1,1111,ABCD,"60,61,62,63"
<references / uncompressed>,4,single,1,1111,ABCD,"64,65,66,67"
<references / uncompressed>,4,single,1,1111,ABCD,"68,69,70,71"
<references / uncompressed>,4,single,1,1111,ABCD,"72,73,74,75"
<references / uncompressed>,4,single,1,1111,ABCD,"76,77,78,79"
<references / uncompressed>,4,single,1,1111,ABCD,"80,81,82,83"
<references / uncompressed>,4,cross,0,0000,ABCD,"84,85,86,87"
<references / uncompressed>,4,single,1,1111,ABCD,"88,89,90,91"
<references / uncompressed>,4,single,1,1111,ABCD,"92,93,94,95"
<references / uncompressed>,4,single,0,0111,ABCD,"96,97,98,99"
<references / uncompressed>,4,cross,1,1111,ABCD,"100,101,102,103"
<references / uncompressed>,4,single,0,1110,ABCD,"104,105,106,107"
<references / uncompressed>,4,single,0,0100,ABCD,"108,109,110,111"
<references / uncompressed>,4,cross,1,1111,ABCD,"112,113,114,115"
<references / uncompressed>,4,single,0,0100,ABCD,"116,117,118,119"
<references / uncompressed>,4,cross,0,1100,ABCD,"120,121,122,123"
<references / uncompressed>,4,cross,1,1111,ABCD,"124,125,126,127"
<references / uncompressed>,4,single,1,1111,ABCD,"128,129,130,131"
<references / uncompressed>,4,single,1,1111,ABCD,"132,133,134,135"
<references / uncompressed>,4,single,1,1111,ABCD,"136,137,138,139"
<references / uncompressed>,4,single,0,0000,ABCD,"140,141,142,143"
<references / uncompressed>,4,single,1,1111,ABCD,"144,145,146,147"
<references / uncompressed>,4,single,1,1111,ABCD,"148,149,150,151"
<references / uncompressed>,4,single,1,1111,ABCD,"152,153,154,155"
<references / uncompressed>,4,single,0,0100,ABCD,"156,157,158,159"
<references / uncompressed>,4,single,1,1111,ABCD,"160,161,162,163"
<references / uncompressed>,4,single,1,1111,ABCD,"164,165,166,167"
<references / uncompressed>,4,single,1,1111,ABCD,"168,169,170,171"
<references / uncompressed>,4,single,0,1100,ABCD,"172,173,174,175"
<references / uncompressed>,4,single,1,1111,ABCD,"176,177,178,179"
<references / uncompressed>,4,single,0,0000,ABCD,"180,181,182,183"
<references / uncompressed>,4,single,1,1111,ABCD,"184,185,186,187"
<references / uncompressed>,4,single,1,1111,ABCD,"188,189,190,191"
<references / uncompressed>,4,single,0,0000,ABCD,"192,193,194,195"
<references / uncompressed>,4,single,1,1111,ABCD,"196,197,198,199"
<references / uncompressed>,4,single,1,1111,ABCD,"200,201,202,203"
<references / uncompressed>,4,single,1,1111,ABCD,"204,205,206,207"
<references / uncompressed>,4,single,0,1011,ABCD,"208,209,210,211"
<references / uncompressed>,4,single,1,1111,ABCD,"212,213,214,215"
<references / uncompressed>,4,single,1,1111,ABCD,"216,217,218,219"
<references / uncompressed>,4,single,0,0111,ABCD,"220,221,222,223"
<references / uncompressed>,4,single,1,1111,ABCD,"224,225,226,227"
<references / uncompressed>,4,single,1,1111,ABCD,"228,229,230,231"
<references / uncompressed>,4,single,1,1111,ABCD,"232,233,234,235"
<references / uncompressed>,4,single,0,1100,ABCD,"236,237,238,239"
<references / uncompressed>,4,single,1,1111,ABCD,"240,241,242,243"
<references / uncompressed>,4,single,1,1111,ABCD,"244,245,246,247"
<references / uncompressed>,4,single,1,1111,ABCD,"248,249,250,251"
<references / uncompressed>,4,single,1,1111,ABCD,"252,253,254,255"
<references / uncompressed>,4,cross,0,1101,ABCD,"256,257,258,259"
<references / uncompressed>,4,single,1,1111,ABCD,"260,261,262,263"
<references / uncompressed>,4,single,0,1100,ABCD,"264,265,266,267"
<references / uncompressed>,4,single,1,1111,ABCD,"268,269,270,271"
<references / uncompressed>,4,single,1,1111,ABCD,"272,273,274,275"
<references / uncompressed>,4,single,1,1111,ABCD,"276,277,278,279"
<references / uncompressed>,4,single,0,1000,ABCD,"280,281,282,283"
<references / uncompressed>,4,single,0,0000,ABCD,"284,285,286,287"
<references / uncompressed>,4,single,1,1111,ABCD,"288,289,290,291"
<references / uncompressed>,4,single,1,1111,ABCD,"292,293,294,295"
<references / uncompressed>,4,single,1,1111,ABCD,"296,297,298,299"
<references / uncompressed>,4,single,1,1111,ABCD,"300,301,302,303"
<references / uncompressed>,4,single,1,1111,ABCD,"304,305,306,307"
<references / uncompressed>,4,cross,1,1111,ABCD,"308,309,310,311"
<references / uncompressed>,4,cross,1,1111,ABCD,"312,313,314,315"
<references / uncompressed>,4,single,0,0011,ABCD,"316,317,318,319"
<references / uncompressed>,4,single,1,1111,ABCD,"320,321,322,323"
<references / uncompressed>,4,single,0,1110,ABCD,"324,325,326,327"
<references / uncompressed>,4,single,1,1111,ABCD,"328,329,330,331"
<references / uncompressed>,4,single,0,0000,ABCD,"332,333,334,335"
<references / uncompressed>,4,single,0,0000,ABCD,"336,337,338,339"
<references / uncompressed>,4,single,1,1111,ABCD,"340,341,342,343"
<references / uncompressed>,4,single,1,1111,ABCD,"344,345,346,347"
<references / uncompressed>,4,single,1,1111,ABCD,"348,349,350,351"
<references / uncompressed>,4,single,1,1111,ABCD,"352,353,354,355"
<references / uncompressed>,4,single,1,1111,ABCD,"356,357,358,359"
<references / uncompressed>,4,single,1,1111,ABCD,"360,361,362,363"
<references / uncompressed>,4,single,1,1111,ABCD,"364,365,366,367"
<references / uncompressed>,4,cross,0,1100,ABCD,"368,369,370,371"
<references / uncompressed>,4,cross,1,1111,ABCD,"372,373,374,375"
<references / uncompressed>,4,cross,0,0100,ABCD,"376,377,378,379"
<references / uncompressed>,4,cross,0,0000,ABCD,"380,381,382,383"
<references / uncompressed>,4,cross,0,0010,ABCD,"384,385,386,387"
<references / uncompressed>,4,cross,0,0000,ABCD,"388,389,390,391"
<references / uncompressed>,4,cross,1,1111,ABCD,"392,393,394,395"
<references / uncompressed>,4,cross,0,0000,ABCD,"396,397,398,399"
<references / uncompressed>,4,cross,1,1111,ABCD,"400,401,402,403"
<references / uncompressed>,4,cross,0,0100,ABCD,"404,405,406,407"
<references / uncompressed>,4,cross,0,0000,ABCD,"408,409,410,411"
<references / uncompressed>,4,cross,1,1111,ABCD,"412,413,414,415"
<references / uncompressed>,4,cross,1,1111,ABCD,"416,417,418,419"
<references / uncompressed>,4,cross,0,1110,ABCD,"420,421,422,423"
<references / uncompressed>,4,cross,1,1111,ABCD,"424,425,426,427"
<references / uncompressed>,4,cross,1,1111,ABCD,"428,429,430,431"
<references / uncompressed>,4,cross,1,1111,ABCD,"432,433,434,435"
<references / uncompressed>,4,cross,0,0000,ABCD,"436,437,438,439"
<references / uncompressed>,4,cross,1,1111,ABCD,"440,441,442,443"
<references / uncompressed>,4,cross,1,1111,ABCD,"444,445,446,447"
<references / uncompressed>,4,cross,1,1111,ABCD,"448,449,450,451"
<references / uncompressed>,4,cross,0,0000,ABCD,"452,453,454,455"
<references / uncompressed>,4,cross,0,0110,ABCD,"456,457,458,459"
<references / uncompressed>,4,cross,1,1111,ABCD,"460,461,462,463"
<references / uncompressed>,4,cross,1,1111,ABCD,"464,465,466,467"
<references / uncompressed>,4,cross,1,1111,ABCD,"468,469,470,471"
<references / uncompressed>,4,cross,1,1111,ABCD,"472,473,474,475"
<references / uncompressed>,4,single,1,1111,ABCD,"476,477,478,479"
<references / uncompressed>,4,single,1,1111,ABCD,"480,481,482,483"
<references / uncompressed>,4,single,1,1111,ABCD,"484,485,486,487"
<references / uncompressed>,4,single,1,1111,ABCD,"488,489,490,491"
<references / uncompressed>,4,single,1,1111,ABCD,"492,493,494,495"
<references / uncompressed>,4,single,1,1111,ABCD,"496,497,498,499"
<references / uncompressed>,4,single,0,0010,ABCD,"500,501,502,503"
<references / uncompressed>,4,single,1,1111,ABCD,"504,505,506,507"
<references / uncompressed>,4,single,1,1111,ABCD,"508,509,510,511"
<references / uncompressed>,4,single,1,1111,ABCD,"512,513,514,515"
<references / uncompressed>,4,single,1,1111,ABCD,"516,517,518,519"
<references / uncompressed>,4,cross,1,1111,ABCD,"520,521,522,523"
<references / uncompressed>,4,single,1,1111,ABCD,"524,525,526,527"
<references / uncompressed>,4,single,1,1111,ABCD,"528,529,530,531"
<references / uncompressed>,4,cross,1,1111,ABCD,"532,533,534,535"
<references / uncompressed>,4,single,1,1111,ABCD,"536,537,538,539"
<references / uncompressed>,4,cross,1,1111,ABCD,"540,541,542,543"
<references / uncompressed>,4,cross,1,1111,ABCD,"544,545,546,547"
<references / uncompressed>,4,cross,0,0000,ABCD,"548,549,550,551"
<references / uncompressed>,4,cross,1,1111,ABCD,"552,553,554,555"
<references / uncompressed>,4,cross,1,1111,ABCD,"556,557,558,559"
<references / uncompressed>,4,cross,0,0111,ABCD,"560,561,562,563"
<references / uncompressed>,4,cross,0,0101,ABCD,"564,565,566,567"
<references / uncompressed>,4,cross,0,0000,ABCD,"568,569,570,571"
<references / uncompressed>,4,cross,1,1111,ABCD,"572,573,574,575"
<references / uncompressed>,4,cross,1,1111,ABCD,"576,577,578,579"
<references / uncompressed>,4,cross,1,1111,ABCD,"580,581,582,583"
<references / uncompressed>,4,cross,1,1111,ABCD,"584,585,586,587"
<references / uncompressed>,4,cross,0,0100,ABCD,"588,589,590,591"
<references / uncompressed>,4,cross,0,0100,ABCD,"592,593,594,595"
<references / uncompressed>,4,cross,0,0000,ABCD,"596,597,598,599"
